Značka,Model,Objem (l),Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Zdroj
Volkswagen,Tayron,2.0,2025,12,1550000,Nafta,Automatická,142,Sauto
Volkswagen,Caravelle,2.0,2024,16215,1550000,Nafta,Automatická,110,Sauto
Bmw,Rada 5,2.0,2023,19192,1550000,Benzín,Automatická,153,Sauto
Audi,Q7,3.0,2022,35529,1550000,Nafta,Automatická,210,Sauto
Porsche,Cayenne,3.0,2018,49000,1550000,Benzín,Automatická,250,Sauto
Audi,Q7,3.0,2022,38211,1550000,Benzín,Automatická,250,Sauto
Volvo,Xc60,2.0,2025,0,1551000,Hybridní,Automatická,293,Sauto
Ford,Tourneo Custom,2.5,2025,0,1554003,Benzín,Automatická,171,Sauto
Porsche,Cayenne,3.0,2019,66220,1555000,Benzín,Automatická,250,Sauto
Ford,Tourneo Custom,2.5,2025,0,1556974,Benzín,Automatická,171,Sauto
Ford,Tourneo Custom,2.0,2025,0,1557391,Nafta,Automatická,125,Sauto
Bmw,M5,4.4,2020,108161,1558000,Benzín,Automatická,441,Sauto
Bmw,X1,2.0,2025,1000,1558838,Nafta,Automatická,120,Sauto
Audi,Q5,2.0,2024,10400,1559000,Hybridní,Automatická,270,Sauto
Volvo,Xc90,2.0,2024,1,1559000,Nafta,Automatická,173,Sauto
Bmw,Rada 5,2.0,2024,16000,1559000,Nafta,Automatická,140,Sauto
Volkswagen,Touareg,3.0,2024,150,1559000,Nafta,Automatická,170,Sauto
Bmw,X3,2.0,2024,17224,1559900,Benzín,Automatická,185,Sauto
Audi,Q8,3.0,2023,20281,1559900,Nafta,Automatická,168,Sauto
Bmw,X3,2.0,2024,5940,1559900,Nafta,Automatická,140,Sauto
Bmw,Rada 7,3.0,2020,57000,1560000,Hybridní,Automatická,290,Sauto
Audi,S5,3.0,2023,5189,1560000,Benzín,Automatická,260,Sauto
Porsche,Cayenne,3.0,2019,93000,1560900,Benzín,Automatická,250,Sauto
Audi,Q8,3.0,2021,57264,1560900,Hybridní,Automatická,280,Sauto
Bmw,X1,1.5,2024,1000,1561906,Hybridní,Automatická,240,Sauto
Ford,Tourneo Custom,2.0,2025,0,1562661,Nafta,Automatická,125,Sauto
Volvo,Xc90,2.0,2023,33984,1564000,Nafta,Automatická,173,Sauto
Bmw,X1,2.0,2025,1000,1567990,Nafta,Automatická,120,Sauto
Volvo,Xc90,2.0,2023,18150,1569000,Nafta,Automatická,173,Sauto
Audi,Q8,3.0,2021,63582,1569900,Nafta,Automatická,210,Sauto
Audi,Rs Q3,2.5,2022,40770,1569900,Benzín,Automatická,294,Sauto
Volkswagen,Multivan,2.0,2024,8499,1569999,Nafta,Automatická,110,Sauto
Porsche,911,3.6,2001,71000,1573000,Benzín,Manuální,309,Sauto
Bmw,X5,3.0,2022,64060,1573000,Nafta,Automatická,210,Sauto
Audi,Q8,3.0,2023,24550,1574900,Benzín,Automatická,250,Sauto
Volvo,Xc90,2.0,2025,8,1575940,Hybridní,Automatická,184,Sauto
Bmw,X1,2.0,2025,0,1577728,Nafta,Automatická,145,Sauto
Bmw,Rada 1,2.0,2025,0,1578115,Benzín,Automatická,233,Sauto
Volvo,Xc90,2.0,2024,0,1579000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2023,21600,1579000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2024,15000,1579000,Nafta,Automatická,173,Sauto
Bmw,Rada 3,2.0,2024,16802,1579000,Nafta,Automatická,140,Sauto
Volkswagen,Passat,2.0,2025,5,1579000,Nafta,Automatická,142,Sauto
Audi,A5,2.0,2025,100,1579000,Nafta,Automatická,150,Sauto
Volvo,V90,2.0,2025,1,1579900,Hybridní,Automatická,257,Sauto
Volkswagen,Caravelle,2.0,2023,26601,1579990,Nafta,Automatická,110,Sauto
Bmw,Rada 2,2.0,2025,0,1579999,Benzín,Automatická,233,Sauto
Volkswagen,Multivan,2.0,2022,35800,1580000,Nafta,Automatická,150,Sauto
Volvo,Xc60,2.0,2025,0,1583000,Benzín,Automatická,184,Sauto
Ford,Tourneo Custom,2.0,2025,0,1583164,Nafta,Automatická,125,Sauto
Volvo,Xc60,2.0,2024,0,1584977,Hybridní,Automatická,186,Sauto
Ford,Mustang,5.0,2024,1,1588254,Benzín,Automatická,328,Sauto
Volvo,Xc90,2.0,2024,16000,1589000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2024,10,1589000,Nafta,Automatická,173,Sauto
Audi,Q8,3.0,2022,60035,1589000,Nafta,Automatická,210,Sauto
Porsche,Cayman,2.0,2020,45873,1590000,Benzín,Automatická,220,Sauto
Audi,Sq7,4.0,2017,99000,1590000,Nafta,Automatická,320,Sauto
Volkswagen,Multivan,2.0,2022,13000,1590000,Nafta,Manuální,110,Sauto
Volkswagen,Caravelle,2.0,2023,32000,1590000,Nafta,Automatická,150,Sauto
Audi,A6,3.0,2022,21900,1590000,Nafta,Automatická,210,Sauto
Audi,A6 Avant,3.0,2022,9500,1590000,Nafta,Automatická,210,Sauto
Audi,Rs3,2.5,2024,1800,1590000,Benzín,Automatická,294,Sauto
Bmw,Rada 5,2.0,2024,26000,1590000,Nafta,Automatická,145,Sauto
Volkswagen,Multivan,2.0,2021,55317,1590000,Nafta,Automatická,150,Sauto
Bmw,X6,3.0,2022,86673,1590000,Nafta,Automatická,210,Sauto
Bmw,X1,1.5,2025,0,1590000,Hybridní,Automatická,240,Sauto
Bmw,X3,3.0,2023,57000,1590000,Nafta,Automatická,250,Sauto
Volkswagen,Grand California,2.0,2022,58000,1590000,Nafta,Automatická,130,Sauto
Bmw,X7,3.0,2021,83851,1590990,Nafta,Automatická,250,Sauto
Ford,Tourneo Custom,2.0,2025,0,1594296,Nafta,Automatická,125,Sauto
Bmw,M5,4.9,2000,91907,1595000,Benzín,Manuální,294,Sauto
Bmw,X6,3.0,2020,118000,1595990,Nafta,Automatická,294,Sauto
Audi,Sq7,4.0,2021,99980,1596000,Nafta,Automatická,320,Sauto
Volkswagen,Multivan,2.0,2023,27500,1597200,Nafta,Automatická,150,Sauto
Ford,Tourneo Custom,2.0,2025,31,1598000,Nafta,Automatická,125,Sauto
Audi,A6,3.0,2021,19000,1598000,Nafta,Automatická,210,Sauto
Bmw,Rada 4,3.0,2023,53400,1598000,Nafta,Automatická,210,Sauto
Audi,A6,3.0,2022,15400,1598000,Nafta,Automatická,210,Sauto
Audi,Sq7,4.0,2021,47500,1598999,Nafta,Automatická,320,Sauto
Volkswagen,Touareg,3.0,2024,25294,1598999,Nafta,Automatická,170,Sauto
Bmw,Rada 5,2.0,2024,26021,1599000,Nafta,Automatická,145,Sauto
Bmw,X5,4.4,2019,31000,1599000,Benzín,Automatická,390,Sauto
Audi,A5,2.0,2025,100,1599000,Nafta,Automatická,150,Sauto
Volvo,Xc60,2.0,2023,8201,1599000,Hybridní,Automatická,186,Sauto
Volvo,Xc90,2.0,2024,16000,1599000,Benzín,Automatická,184,Sauto
Bmw,M4,3.0,2022,40000,1599000,Benzín,Automatická,375,Sauto
Bmw,Rada 5,2.0,2024,29000,1599000,Nafta,Automatická,145,Sauto
Volvo,Xc90,2.0,2024,3150,1599000,Benzín,Automatická,184,Sauto
Volkswagen,Multivan,2.0,2025,1001,1599000,Benzín,Automatická,150,Sauto
Volvo,Xc90,2.0,2023,16514,1599000,Nafta,Automatická,173,Sauto
Volkswagen,Tiguan,2.0,2025,5,1599000,Nafta,Automatická,142,Sauto
Mercedes Benz,Gle,2.9,2021,93696,1599000,Nafta,Automatická,200,Sauto
Volvo,Xc90,2.0,2024,3500,1599000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2024,14679,1599000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2024,19000,1599000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2024,13000,1599000,Nafta,Automatická,173,Sauto
Audi,A5,0.0,2025,0,1599000,Benzín,Automatická,195,Sauto
Volvo,Xc90,2.0,2023,25867,1599000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2024,20650,1599000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2024,20387,1599000,Nafta,Automatická,173,Sauto
Bmw,Rada 5,2.0,2024,8197,1599000,Nafta,Automatická,145,Sauto
Bmw,X5,3.0,2022,56280,1599000,Nafta,Automatická,250,Sauto
Ford,Mustang,5.0,2024,100,1599000,Benzín,Automatická,328,Sauto
Volkswagen,Multivan,2.0,2022,44965,1599000,Nafta,Automatická,110,Sauto
Volkswagen,Touareg,3.0,2021,95000,1599000,Nafta,Automatická,210,Sauto
Volvo,Xc90,2.0,2024,20000,1599000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2024,12100,1599000,Nafta,Automatická,173,Sauto
Volkswagen,Touareg,3.0,2023,22199,1599000,Nafta,Automatická,210,Sauto
Bmw,X6,3.0,2021,57053,1599000,Benzín,Automatická,245,Sauto
Bmw,X6,3.0,2020,90352,1599000,Nafta,Automatická,250,Sauto
Volkswagen,Touareg,3.0,2020,28429,1599000,Nafta,Automatická,210,Sauto
Volvo,Xc90,2.0,2024,14515,1599000,Nafta,Automatická,173,Sauto
Volvo,Xc60,2.0,2024,6229,1599000,Hybridní,Automatická,186,Sauto
Bmw,X7,3.0,2020,100000,1599000,Nafta,Automatická,250,Sauto
Volvo,Xc90,2.0,2024,19876,1599000,Nafta,Automatická,173,Sauto
Porsche,Cayenne,3.0,2021,95378,1599000,Benzín,Automatická,250,Sauto
Volkswagen,Multivan,1.4,2023,12960,1599000,Hybridní,Automatická,110,Sauto
Volvo,Xc90,2.0,2024,22284,1599000,Nafta,Automatická,173,Sauto
Audi,Sq7,4.0,2020,126000,1599000,Nafta,Automatická,320,Sauto
Audi,A5,2.0,2024,1000,1599000,Nafta,Automatická,150,Sauto
Audi,Q5,2.0,2024,7766,1599000,Nafta,Automatická,150,Sauto
Ford,Bronco,2.7,2024,16100,1599000,Benzín,Automatická,246,Sauto
Volvo,Xc90,2.0,2023,25700,1599000,Nafta,Automatická,173,Sauto
Audi,Q7,3.0,2022,40816,1599000,Nafta,Automatická,210,Sauto
Bmw,X5,3.0,2022,51109,1599000,Nafta,Automatická,210,Sauto
Audi,Q8,3.0,2022,73407,1599000,Benzín,Automatická,250,Sauto
Ford,Ranger,3.0,2023,41729,1599000,Benzín,Automatická,215,Sauto
Volvo,V90,2.0,2024,0,1599000,Hybridní,Automatická,293,Sauto
Audi,A8,4.0,2021,53000,1599000,Benzín,Automatická,338,Sauto
Volvo,Xc60,2.0,2024,3000,1599000,Benzín,Automatická,184,Sauto
Volvo,Xc90,2.0,2022,11856,1599000,Hybridní,Automatická,335,Sauto
Volvo,Xc90,2.0,2024,26901,1599000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2022,55234,1599000,Hybridní,Automatická,335,Sauto
Bmw,I8,1.5,2017,74031,1599000,Benzín,Automatická,275,Sauto
Bmw,Rada 3,3.0,2023,11800,1599000,Benzín,Automatická,275,Sauto
Volvo,Xc90,2.0,2023,24874,1599000,Hybridní,Automatická,335,Sauto
Volvo,Xc90,2.0,2024,11367,1599000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2023,13133,1599000,Hybridní,Automatická,335,Sauto
Volkswagen,Multivan,2.0,2025,1111,1599000,Nafta,Automatická,110,Sauto
Bmw,X5,3.0,2020,78050,1599000,Nafta,Automatická,195,Sauto
Volkswagen,California,2.0,2025,0,1599000,Nafta,Automatická,110,Sauto
Volvo,Xc90,2.0,2023,25596,1599000,Hybridní,Automatická,335,Sauto
Bmw,X5,3.0,2022,28932,1599000,Nafta,Automatická,210,Sauto
Bmw,Rada 3,3.0,2024,15037,1599000,Nafta,Automatická,210,Sauto
Bmw,Rada 5,2.0,2024,14340,1599000,Nafta,Automatická,145,Sauto
Bmw,Z4,3.0,2024,6,1599000,Benzín,Automatická,250,Sauto
Bmw,X6,3.0,2020,99223,1599000,Nafta,Automatická,294,Sauto
Bmw,X5,3.0,2020,63423,1599000,Nafta,Automatická,294,Sauto
Bmw,Rada 5,2.0,2024,25348,1599000,Nafta,Automatická,145,Sauto
Bmw,X6,4.4,2020,98616,1599000,Benzín,Automatická,390,Sauto
Ford,Bronco,2.7,2024,10115,1599000,Benzín,Automatická,246,Sauto
Volvo,Xc90,2.0,2023,17500,1599000,Nafta,Automatická,173,Sauto
Porsche,Panamera,4.0,2019,72500,1599900,Benzín,Automatická,338,Sauto
Audi,Sq7,4.0,2020,129986,1599900,Nafta,Automatická,320,Sauto
Bmw,X5,3.0,2021,65000,1599900,Nafta,Automatická,210,Sauto
Bmw,X4,3.0,2024,20756,1599900,Nafta,Automatická,210,Sauto
Ford,Mustang,5.0,2023,6500,1599900,Benzín,Automatická,338,Sauto
Audi,Q7,3.0,2020,81000,1599900,Nafta,Automatická,210,Sauto
Volvo,Xc90,2.0,2023,34800,1599900,Nafta,Automatická,173,Sauto
Bmw,M5,4.4,2019,97420,1599900,Benzín,Automatická,493,Sauto
Porsche,Cayenne,2.9,2019,112000,1599990,Benzín,Automatická,324,Sauto
Audi,S6,3.0,2020,26185,1599990,Nafta,Automatická,257,Sauto
Bmw,X5,4.4,2022,65000,1599990,Benzín,Automatická,390,Sauto
Bmw,X7,3.0,2021,62964,1599999,Nafta,Automatická,250,Sauto
Ford,Mustang,5.0,2024,10557,1599999,Benzín,Automatická,328,Sauto
Audi,Rs5,2.9,2021,34068,1599999,Benzín,Automatická,331,Sauto
Volvo,Xc60,2.0,2024,6,1599999,Benzín,Automatická,184,Sauto
Bmw,X6,3.0,2022,69752,1600000,Nafta,Automatická,210,Sauto
Volvo,Xc90,2.0,2023,12700,1600000,Nafta,Automatická,173,Sauto
Bmw,Rada 3,3.0,2023,31000,1600000,Benzín,Automatická,275,Sauto
Ford,Escort,2.0,1995,77214,1600000,Benzín,Manuální,162,Sauto
Bmw,X6,3.0,2022,57855,1600000,Nafta,Automatická,210,Sauto
Porsche,911,3.0,1983,179000,1600000,Benzín,Manuální,150,Sauto
Volvo,Xc90,2.0,2023,20000,1600000,Hybridní,Automatická,228,Sauto
Audi,Q8,3.0,2021,33921,1600000,Benzín,Automatická,250,Sauto
Bmw,M5,4.4,2019,80000,1600000,Benzín,Automatická,470,Sauto
Ford,Ranger,3.0,2025,12,1600000,Nafta,Automatická,176,Sauto
Audi,Sq7,4.0,2020,106000,1603250,Nafta,Automatická,320,Sauto
Volvo,Xc90,2.0,2024,13500,1608000,Nafta,Automatická,173,Sauto
Volvo,Xc60,2.0,2025,1,1614900,Benzín,Automatická,335,Sauto
Volkswagen,Multivan,2.0,2024,25000,1618999,Nafta,Automatická,110,Sauto
Bmw,Rada 2,3.0,2025,15000,1619000,Benzín,Automatická,275,Sauto
Volvo,Xc60,2.0,2024,0,1619000,Hybridní,Automatická,257,Sauto
Volkswagen,California,2.0,2025,0,1619000,Nafta,Automatická,110,Sauto
Volvo,Xc90,2.0,2024,11000,1619000,Nafta,Automatická,173,Sauto
Bmw,X1,1.5,2025,0,1619000,Hybridní,Automatická,180,Sauto
Volkswagen,Touareg,4.0,2020,68870,1619900,Nafta,Automatická,310,Sauto
Volvo,Xc90,2.0,2025,0,1619919,Benzín,Automatická,184,Sauto
Audi,Q8,3.0,2023,16050,1624900,Benzín,Automatická,250,Sauto
Audi,A8,3.0,2021,42778,1626240,Hybridní,Automatická,330,Sauto
Bmw,Rada 7,3.0,2021,77450,1627450,Hybridní,Automatická,290,Sauto
Audi,A6 Allroad,3.0,2023,38608,1628000,Nafta,Automatická,253,Sauto
Bmw,Rada 5,2.0,2024,24900,1628000,Nafta,Automatická,145,Sauto
Ford,Explorer,3.0,2022,21080,1629000,Benzín,Automatická,336,Sauto
Volvo,Xc90,2.0,2024,15000,1629000,Nafta,Automatická,173,Sauto
Audi,A5,2.0,2025,100,1629000,Nafta,Automatická,150,Sauto
Volvo,Xc90,2.0,2023,43573,1629000,Hybridní,Automatická,228,Sauto
Volkswagen,Caravelle,2.0,2023,16608,1629000,Nafta,Automatická,150,Sauto
Audi,A5,2.0,2025,50,1629000,Nafta,Automatická,150,Sauto
Bmw,Rada 5,2.0,2024,27300,1629000,Nafta,Automatická,145,Sauto
Volkswagen,Caravelle,2.0,2023,21003,1629900,Nafta,Automatická,150,Sauto
Audi,Q5,2.0,2024,0,1629900,Nafta,Automatická,150,Sauto
Bmw,Rada 4,3.0,2024,19193,1629900,Benzín,Automatická,275,Sauto
Bmw,Rada 5,2.0,2024,19864,1629900,Nafta,Automatická,145,Sauto
Bmw,Rada 4,3.0,2024,11770,1629900,Nafta,Automatická,210,Sauto
Ford,F 150,3.5,2021,20504,1632290,Benzín,Automatická,298,Sauto
Ford,Mustang,5.0,2024,1,1632894,Benzín,Automatická,328,Sauto
Audi,Q8,3.0,2023,19852,1633500,Nafta,Automatická,210,Sauto
Ford,Mustang,5.0,2024,0,1634760,Benzín,Automatická,328,Sauto
Bmw,Rada 5,2.0,2023,39000,1635000,Hybridní,Automatická,215,Sauto
Audi,A5,2.0,2024,5000,1636080,Nafta,Automatická,150,Sauto
Volvo,Xc90,2.0,2023,15000,1639000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2024,10000,1639000,Nafta,Automatická,173,Sauto
Ford,Ranger,3.0,2024,29816,1639000,Benzín,Automatická,215,Sauto
Audi,Q7,3.0,2022,79980,1639000,Hybridní,Automatická,340,Sauto
Audi,Q5,2.0,2024,0,1639000,Nafta,Automatická,150,Sauto
Volvo,Xc60,2.0,2025,0,1639000,Hybridní,Automatická,257,Sauto
Volkswagen,Caravelle,2.0,2023,27930,1639900,Nafta,Automatická,110,Sauto
Bmw,X4,3.0,2024,14534,1639900,Nafta,Automatická,210,Sauto
Bmw,X4,2.0,2024,15608,1639900,Benzín,Automatická,185,Sauto
Audi,A6 Avant,3.0,2024,19800,1640000,Nafta,Automatická,210,Sauto
Ford,Mustang,5.0,2025,0,1641410,Benzín,Automatická,328,Sauto
Audi,Q8,3.0,2021,57357,1645000,Nafta,Automatická,210,Sauto
Audi,A6,3.0,2024,5600,1645600,Nafta,Automatická,180,Sauto
Volkswagen,California,2.0,2025,10,1646000,Nafta,Automatická,110,Sauto
Volkswagen,Passat,2.0,2025,0,1646600,Nafta,Automatická,142,Sauto
Audi,A5,2.0,2025,5,1647000,Benzín,Automatická,150,Sauto
Audi,Q7,3.0,2023,36154,1648999,Nafta,Automatická,210,Sauto
Bmw,X3,3.0,2024,18934,1649000,Nafta,Automatická,210,Sauto
Audi,A6,2.0,2025,100,1649000,Nafta,Automatická,150,Sauto
Bmw,Rada 3,2.0,2024,13393,1649000,Nafta,Automatická,140,Sauto
Bmw,X6,3.0,2022,89904,1649000,Nafta,Automatická,250,Sauto
Bmw,Rada 3,2.0,2025,8,1649000,Nafta,Automatická,140,Sauto
Audi,S7,3.0,2019,48267,1649000,Nafta,Automatická,257,Sauto
Bmw,X6,3.0,2022,89000,1649000,Nafta,Automatická,250,Sauto
Volkswagen,Multivan,2.0,2025,808,1649000,Nafta,Manuální,110,Sauto
Volkswagen,Tayron,2.0,2025,1,1649000,Nafta,Automatická,142,Sauto
Bmw,X3,3.0,2024,19756,1649000,Nafta,Automatická,210,Sauto
Audi,A5,2.0,2024,11000,1649000,Nafta,Automatická,150,Sauto
Audi,Rs3,2.5,2024,8500,1649000,Benzín,Automatická,294,Sauto
Volvo,Xc90,2.0,2024,12021,1649000,Hybridní,Automatická,335,Sauto
Volvo,Xc60,2.0,2024,116,1649000,Hybridní,Automatická,228,Sauto
Audi,A5,0.0,2025,0,1649000,Nafta,Automatická,150,Sauto
Audi,Q5,2.0,2024,0,1649000,Nafta,Automatická,150,Sauto
Volkswagen,Multivan,2.0,2024,13,1649000,Nafta,Automatická,110,Sauto
Bmw,X5,3.0,2023,48478,1649000,Nafta,Automatická,210,Sauto
Volvo,Xc90,2.0,2022,38000,1649000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2024,16800,1649000,Nafta,Automatická,173,Sauto
Bmw,X4,3.0,2024,26200,1649000,Nafta,Automatická,210,Sauto
Bmw,M2,3.0,2023,9100,1649000,Benzín,Automatická,338,Sauto
Volvo,Xc90,2.0,2023,37000,1649000,Nafta,Automatická,173,Sauto
Volvo,V90,2.0,2024,0,1649000,Hybridní,Automatická,293,Sauto
Volvo,Xc90,2.0,2024,22875,1649000,Nafta,Automatická,173,Sauto
Bmw,Rada 5,4.4,2021,44849,1649000,Benzín,Automatická,390,Sauto
Audi,A5,2.0,2023,11571,1649000,Benzín,Automatická,195,Sauto
Volkswagen,California,2.0,2023,808,1649000,Nafta,Manuální,110,Sauto
Volvo,Xc90,2.0,2023,35375,1649000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2024,28888,1649000,Hybridní,Automatická,228,Sauto
Volvo,Xc90,2.0,2023,30572,1649000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2024,13000,1649000,Nafta,Automatická,173,Sauto
Bmw,X7,3.0,2020,137680,1649900,Nafta,Automatická,294,Sauto
Audi,Rs5,2.9,2020,80000,1649900,Benzín,Automatická,331,Sauto
Audi,A5,2.0,2024,79,1649900,Nafta,Automatická,150,Sauto
Volkswagen,Multivan,1.4,2023,45000,1649900,Hybridní,Automatická,110,Sauto
Ford,Bronco,2.7,2025,0,1649900,Benzín,Automatická,246,Sauto
Bmw,X5,3.0,2022,25935,1649999,Nafta,Automatická,210,Sauto
Volkswagen,Multivan,2.0,2024,20,1650000,Nafta,Automatická,110,Sauto
Volvo,Xc60,2.0,2024,100,1650000,Hybridní,Automatická,228,Sauto
Bmw,X5,3.0,2022,42000,1650000,Benzín,Automatická,250,Sauto
Bmw,X6,3.0,2021,44900,1650000,Nafta,Automatická,250,Sauto
Audi,Q7,3.0,2023,21987,1650000,Benzín,Automatická,250,Sauto
Volkswagen,California,2.0,2020,123822,1650000,Nafta,Automatická,146,Sauto
Volvo,Xc90,2.0,2023,14900,1650000,Hybridní,Automatická,228,Sauto
Bmw,Rada 2,2.0,2025,8,1652000,Benzín,Automatická,221,Sauto
Audi,A6 Allroad,3.0,2023,33102,1654900,Nafta,Automatická,210,Sauto
Volkswagen,Tiguan Allspace,2.0,2024,0,1655699,Nafta,Automatická,142,Sauto
Bmw,X7,3.0,2021,112000,1655795,Nafta,Automatická,250,Sauto
Audi,Sq7,4.0,2021,99194,1657700,Benzín,Automatická,373,Sauto
Audi,A8,4.2,2010,5246,1658000,Nafta,Automatická,258,Sauto
Volvo,Xc60,2.0,2025,0,1659000,Hybridní,Automatická,257,Sauto
Bmw,Rada 3,3.0,2024,15000,1659000,Benzín,Automatická,275,Sauto
Volkswagen,Caravelle,2.0,2023,42297,1659900,Nafta,Automatická,110,Sauto
Bmw,X4,3.0,2024,17200,1659900,Nafta,Automatická,210,Sauto
Porsche,Panamera,4.0,2017,133600,1660000,Nafta,Automatická,310,Sauto
Audi,Q5,2.0,2022,50000,1664186,Nafta,Automatická,150,Sauto
Volvo,Xc90,2.0,2025,0,1664874,Benzín,Automatická,184,Sauto
Bmw,X3,2.0,2025,8000,1666000,Nafta,Automatická,145,Sauto
Audi,Rs4 Avant,2.9,2021,55300,1666170,Benzín,Automatická,331,Sauto
Bmw,X5,3.0,2020,19000,1666666,Hybridní,Automatická,290,Sauto
Bmw,Rada 2,3.0,2025,0,1668000,Benzín,Automatická,275,Sauto
Volvo,Xc90,2.0,2023,13000,1668000,Hybridní,Automatická,335,Sauto
Audi,A6,3.0,2023,8000,1668000,Nafta,Automatická,210,Sauto
Bmw,M2,3.0,2023,13047,1669000,Benzín,Automatická,338,Sauto
Volvo,Xc60,2.0,2025,0,1669000,Benzín,Automatická,184,Sauto
Volkswagen,Tayron,2.0,2025,100,1669000,Nafta,Automatická,142,Sauto
Bmw,Rada 5,2.0,2024,20266,1669000,Nafta,Automatická,145,Sauto
Audi,Q5,2.0,2024,0,1669000,Nafta,Automatická,150,Sauto
Bmw,Rada 3,2.0,2024,0,1669800,Nafta,Automatická,140,Sauto
Volkswagen,Multivan,2.0,2024,43600,1670000,Nafta,Automatická,150,Sauto
Volvo,Xc90,2.0,2025,8,1670715,Benzín,Automatická,184,Sauto
Volkswagen,California,2.0,2025,10,1671000,Benzín,Automatická,150,Sauto
Bmw,X1,2.0,2025,5,1672000,Benzín,Automatická,221,Sauto
Audi,Sq7,4.0,2020,117000,1675000,Nafta,Automatická,320,Sauto
Bmw,Rada 4,2.0,2024,12000,1676000,Nafta,Automatická,140,Sauto
Volkswagen,Multivan,1.4,2024,9500,1679000,Hybridní,Automatická,110,Sauto
Audi,Q7,3.0,2022,17550,1679000,Nafta,Automatická,210,Sauto
Volkswagen,Multivan,2.0,2022,16645,1679000,Nafta,Automatická,150,Sauto
Ford,Mustang,5.0,2024,100,1679000,Benzín,Manuální,334,Sauto
Bmw,X4,3.0,2024,22344,1679000,Nafta,Automatická,210,Sauto
Ford,Explorer,3.0,2023,19354,1679000,Hybridní,Automatická,267,Sauto
Audi,Q5,2.0,2024,0,1679000,Nafta,Automatická,150,Sauto
Volkswagen,Multivan,2.0,2025,0,1679000,Nafta,Automatická,110,Sauto
Ford,Ranger,3.0,2024,13821,1679000,Benzín,Automatická,215,Sauto
Volvo,Xc60,2.0,2025,0,1679000,Hybridní,Automatická,257,Sauto
Bmw,Rada 5,3.0,2024,9150,1679000,Nafta,Automatická,210,Sauto
Bmw,Rada 4,3.0,2024,19083,1679900,Benzín,Automatická,275,Sauto
Ford,Explorer,3.0,2023,12800,1680000,Hybridní,Automatická,267,Sauto
Porsche,Cayenne,3.0,2019,194000,1681900,Benzín,Automatická,250,Sauto
Volvo,Xc60,2.0,2025,0,1685000,Hybridní,Automatická,257,Sauto
Volvo,Xc90,2.0,2025,0,1687554,Benzín,Automatická,184,Sauto
Audi,Rs3,2.5,2023,6937,1689000,Benzín,Automatická,294,Sauto
Volvo,Xc60,2.0,2025,0,1689000,Hybridní,Automatická,257,Sauto
Volvo,Xc90,2.0,2024,8,1689000,Nafta,Automatická,173,Sauto
Volvo,Xc90,2.0,2024,0,1689000,Benzín,Automatická,184,Sauto
Bmw,Rada 2,2.0,2025,8,1689360,Benzín,Automatická,233,Sauto
Bmw,M5,4.4,2019,73000,1690000,Benzín,Automatická,460,Sauto
Volkswagen,Touareg,4.0,2020,30554,1690000,Nafta,Automatická,310,Sauto
Volkswagen,Multivan,2.0,2022,43000,1690000,Nafta,Automatická,150,Sauto
Audi,Ostatni,2.5,2022,22490,1690000,Benzín,Automatická,294,Sauto
Bmw,X4,3.0,2022,32000,1690000,Benzín,Automatická,375,Sauto
Bmw,M4,3.0,2021,17500,1690000,Benzín,Automatická,375,Sauto
Audi,Q5,2.0,2024,10,1690000,Benzín,Automatická,220,Sauto
Volkswagen,Multivan,2.0,2022,42000,1691580,Nafta,Automatická,150,Sauto
Ford,Mustang,5.0,2023,0,1691800,Benzín,Automatická,328,Sauto
Volvo,Xc90,2.0,2025,8,1692690,Benzín,Automatická,184,Sauto
Volvo,Xc90,2.0,2025,71,1692690,Benzín,Automatická,184,Sauto
Bmw,X5,3.0,2021,89121,1692790,Nafta,Automatická,294,Sauto
Ford,Mustang,5.0,2024,1,1692790,Benzín,Automatická,357,Sauto
Porsche,Panamera,4.0,2017,113000,1692790,Benzín,Automatická,402,Sauto
Audi,S8,4.0,2017,41000,1694000,Benzín,Automatická,445,Sauto
Ford,Bronco,2.7,2023,20900,1694000,Benzín,Automatická,246,Sauto
Bmw,Rada 3,2.0,2025,0,1694000,Nafta,Automatická,140,Sauto
Volkswagen,Multivan,2.0,2025,0,1694209,Nafta,Automatická,110,Sauto
Ford,Mustang,5.0,2023,0,1694908,Benzín,Automatická,328,Sauto
