Značka,Model,Objem (l),Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Zdroj
Opel,Zafira,1.9,2008,162113,56000,Nafta,Manuální,88,Sauto
Hyundai,Getz,1.1,2008,57517,56000,benzín,manual,49,Autoesa
Volvo,V50,1.6,2007,201105,58000,nafta,manual,80,Autoesa
Peugeot,207,1.4,2006,160331,58000,benzín,manual,65,Autoesa
Fiat,Bravo,1.4,2008,115636,58000,benzín,manual,66,Autoesa
Mini,One,1.6,2003,193022,58000,Benzín,Manuální,66,Sauto
Renault,Scénic,1.6,2013,302160,59000,nafta,manual,96,Autoesa
Opel,Corsa,1.2,2009,172803,59000,Benzín,Manuální,59,Sauto
Bmw,X3,3.0,2004,310000,59000,Nafta,Automatická,150,Sauto
Kia,Ceed,1.6,2009,190985,59000,nafta,manual,85,Autoesa
Renault,Twingo,1.1,2011,89604,59000,Benzín,Manuální,43,Sauto
Peugeot,307,2.0,2004,126977,59000,Nafta,Manuální,66,Sauto
Nissan,Pixo,1.0,2011,95335,59000,Benzín,Manuální,50,Sauto
Volkswagen,Passat,1.9,2002,258020,59000,Nafta,Manuální,96,Sauto
Citroen,Xsara Picasso,1.6,2007,125570,59000,Benzín,Manuální,80,Sauto
Peugeot,206,1.4,2010,119955,59000,benzín,manual,55,Autoesa
Honda,Accord,2.2,2006,334000,59000,Nafta,Manuální,103,Sauto
Fiat,Panda,1.1,2010,125000,59000,Benzín,Manuální,40,Sauto
Ford,Focus,1.6,2011,292202,59000,nafta,manual,70,Autoesa
Nissan,Micra,1.2,2005,218000,59000,Benzín,Manuální,59,Sauto
Subaru,Impreza,2.0,2010,225478,59000,Nafta,Manuální,110,Sauto
Mercedes-Benz,Třída,2.0,2006,173235,59000,benzín,manual,80,Autoesa
Dacia,Sandero,1.2,2014,171251,59000,benzín,manual,55,Autoesa
Opel,Zafira,1.7,2008,283599,59900,Nafta,Manuální,81,Sauto
Fiat,Panda,1.1,2009,134700,59900,Benzín,Manuální,40,Sauto
Mitsubishi,Colt,1.5,2006,75560,59900,Benzín,Manuální,80,Sauto
Seat,Ibiza,1.2,2008,114953,59900,Benzín,Manuální,51,Sauto
Citroen,C3,1.1,2008,84000,59900,Benzín,Manuální,44,Sauto
Fiat,Bravo,1.9,2007,233371,59900,Nafta,Manuální,88,Sauto
Mitsubishi,Lancer,2.0,2009,405392,59900,Nafta,Manuální,103,Sauto
Mitsubishi,Colt,1.3,2011,215838,59900,Benzín,Manuální,70,Sauto
Peugeot,Partner,1.4,2008,154000,59990,Benzín,Manuální,55,Sauto
Mini,One,1.6,2005,227000,59990,Benzín,Manuální,66,Sauto
Citroen,C1,1.0,2007,58157,59999,Benzín,Manuální,50,Sauto
Opel,Corsa,1.2,2012,243128,59999,LPG + benzín,Manuální,63,Sauto
Citroen,C5,2.0,2013,172347,59999,Nafta,Manuální,103,Sauto
Fiat,Punto,1.2,2009,164613,59999,Benzín,Manuální,48,Sauto
