Značka,Model,Objem (l),Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Stari
Honda,Cr V,2.0,341184,65000,Benzin,Manualni,110,21
Honda,Civic,1.3,187324,65000,Benzin,Manualni,61,19
Nissan,Tiida,1.6,183321,65000,Benzin,Manualni,81,16
Mazda,5,1.8,197391,65000,Benzin,Manualni,85,18
Mazda,2,1.3,195000,65000,Benzin,Manualni,55,14
Kia,Carens,2.0,197407,65000,Nafta,Manualni,103,18
Fiat,Sedici,1.9,224654,65000,Nafta,Manualni,88,18
Skoda,Fabia,1.2,168505,65000,Benzin,Manualni,51,17
MercedesBenz,Tridy E,2.1,406566,65000,Nafta,Automaticka,105,25
Subaru,Impreza,1.5,265197,65000,Benzin,Manualni,79,17
Honda,Cr V,2.2,296749,65000,Nafta,Manualni,103,18
Volvo,Xc90,2.4,478000,65000,Nafta,Automaticka,136,20
Skoda,Octavia,1.6,163164,65000,Benzin,Manualni,75,18
Seat,Leon,1.6,205158,66000,Nafta,Manualni,77,15
Volvo,V50,2.0,287358,66000,Nafta,Manualni,100,17
Nissan,Micra,1.2,104000,66000,Benzin,Manualni,48,15
Opel,Corsa,1.2,155200,66900,Benzin,Manualni,51,15
Nissan,Note,1.4,263000,67000,Benzin,Manualni,65,19
Nissan,Note,1.4,183000,67000,Benzin,Manualni,65,17
Kia,Cee D,1.6,143000,67500,Nafta,Manualni,85,18
Mitsubishi,Grandis,2.0,366083,67500,Nafta,Manualni,100,17
Audi,A4,3.0,337916,68000,Nafta,Manualni,150,20
Ford,SMAX,2.0,240813,68000,Nafta,Automaticka,103,18
Audi,A4,3.0,337916,68000,Nafta,Manualni,150,20
Hyundai,I30,1.6,192496,68000,Nafta,Manualni,66,17
Mazda,5,2.0,200240,68000,Benzin,Manualni,107,20
Mazda,6,2.0,114645,68000,Benzin,Manualni,104,20
Citroen,C4,1.6,284935,68000,Nafta,Manualni,80,18
Peugeot,308,1.6,186076,68000,Nafta,Manualni,68,13
Fiat,Bravo,1.6,257300,68900,Nafta,Manualni,88,16
Toyota,Corolla,1.6,317302,69000,Benzin,Manualni,91,17
Mini,Cooper,1.6,173702,69000,Benzin,Manualni,85,21
Mini,Cooper,1.6,221400,69000,Benzin,Manualni,85,23
Mitsubishi,Colt,1.1,143785,69000,Benzin,Manualni,55,17
Seat,Altea,1.9,211205,69000,Nafta,Manualni,77,18
MercedesBenz,Tridy A,1.5,149297,69000,Benzin,Manualni,70,17
Mg,Zt,2.5,184281,69000,Benzin,Manualni,140,21
Ford,SMAX,2.0,214630,69000,Nafta,Manualni,96,18
Nissan,Qashqai,1.6,207214,69000,Benzin,Manualni,84,15
Citroen,C3,1.6,220199,69000,Nafta,Manualni,68,13
Nissan,Pathfinder,2.5,301638,69000,Nafta,Manualni,128,19
Honda,Civic,1.6,152000,69000,Benzin,Manualni,81,21
Mazda,Cx 9,3.5,182000,69000,Benzin,Automaticka,186,19
Nissan,Almera,1.5,84000,69000,Benzin,Manualni,66,24
Fiat,Panda,1.1,110830,69000,Benzin,Manualni,40,15
Dacia,Logan,1.1,210527,69000,Benzin,Manualni,55,10
Mitsubishi,Grandis,2.0,280833,69000,Nafta,Manualni,103,15
Kia,Ceed,1.6,190486,69000,Benzin,Manualni,89,18
Mini,One,1.6,191122,69000,Benzin,Manualni,66,19
Dacia,Logan,1.6,138788,69000,Benzin,Manualni,77,17
Subaru,Legacy,2.0,399000,69000,Benzin,Manualni,121,18
Ford,CMAX,1.6,153351,69000,Benzin,Manualni,74,20
Skoda,Fabia,1.2,140200,69000,Benzin,Manualni,51,17
Peugeot,307,1.6,166152,69000,Benzin,Manualni,80,23
Ford,S Max,2.0,214630,69000,Nafta,Manualni,96,18
Volvo,C30,1.8,213377,69000,Benzin,Manualni,92,18
